Arabic,English
مرحبا,hello
شكرا,thank you
نعم,yes
لا,no
صباح,morning
مساء,evening
ليل,night
يوم,day
وقت,time
بيت,house
باب,door
نافذة,window
غرفة,room
مطبخ,kitchen
طاولة,table
كرسي,chair
كتاب,book
قلم,pen
مدرسة,school
جامعة,university
معلم,teacher
طالب,student
صديق,friend
عائلة,family
أب,father
أم,mother
أخ,brother
أخت,sister
طفل,child
رجل,man
امرأة,woman
ولد,boy
بنت,girl
اسم,name
مدينة,city
شارع,street
سيارة,car
قطار,train
طائرة,airplane
ماء,water
طعام,food
حليب,milk
تفاحة,apple
بيت,home
عمل,work
وظيفة,job
مال,money
سوق,market
متجر,shop
حديقة,garden
سماء,sky
أرض,earth
شمس,sun
قمر,moon
نجمة,star
بحر,sea
جبل,mountain
باب,door
يد,hand
عين,eye
رأس,head
قلب,heart
وجه,face
كبير,big
صغير,small
جميل,beautiful
جديد,new
قديم,old
سريع,fast
بطيء,slow
سهل,easy
صعب,difficult
جيد,good
سيئ,bad
سعيد,happy
حزين,sad
حار,hot
بارد,cold
أريد,I want
أحب,I love
أعرف,I know
أفهم,I understand
أرى,I see
أسمع,I hear
أذهب,I go
آتي,I come
آكل,I eat
أشرب,I drink
أقرأ,I read
أكتب,I write
أعمل,I work
أنام,I sleep
انتظر,wait
تعال,come
اذهب,go
توقف,stop
ساعدني,help me
